OrganizationType,District,OrganizationCode,OrganizationName,Street,City,State,ZIP,Phone,Fax,Website,EdProgram,ProgramType,InterDistrictMagnet,PreKindergarten,Kindergarten,Grade01,Grade02,Grade03,Grade04,Grade05,Grade06,Grade07,Grade08,Grade09,Grade10,Grade11,Grade12,SchoolCT,longitude,latitude
Public Schools,East Windsor School District,476111,East Windsor High School,76 South Main St.,East Windsor,CT,06088-9741,860-623-3361,NA,eastwindsork12.org,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"East Windsor High School, East Windsor, CT",-72.6116366,41.9011308
Public Schools,Ellington School District,486111,Ellington High School,37 Maple St.,Ellington,CT,06029-3333,860-896-2352,NA,www.ellingtonschools.org,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Ellington High School, Ellington, CT",-72.4619707,41.9096994
Public Charter Schools,Elm City College Preparatory School District,2890113,Elm City College Preparatory School,407 James Street,New Haven,CT,6513,203-772-7010,203-498-0712,www.achievementfirst.org,NA,NA,NA,0,1,1,1,1,1,1,1,1,1,1,1,1,1,"Elm City College Preparatory School, New Haven, CT",-72.9033373,41.313801
Public Schools,Enfield School District,496111,Enfield High School,1264 Enfield St.,Enfield,CT,06082-4919,860-253-5540,860-253-5555,www.enfieldschools.org,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Enfield High School, Enfield, CT",-72.5965511,41.9786588
Public Charter Schools,Explorations District,2726113,Explorations,71 Spencer St.,Winsted,CT,6098,860-738-9070,860-738-9092,www.ExplorationsCS.com,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Explorations, Winsted, CT",-73.0757866,41.9294257
Public Schools,Fairfield School District,516011,Fairfield Ludlowe High School,785 Unquowa Rd.,Fairfield,CT,6824,203-255-7201,NA,fairfieldschools.org/schools/flhs/,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Fairfield Ludlowe High School, Fairfield, CT",-73.263421,41.1495
Public Schools,Fairfield School District,516211,Fairfield Warde High School,755 Melville Ave.,Fairfield,CT,6825,203-255-8449,NA,fairfieldschools.org/schools/fwhs/,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Fairfield Warde High School, Fairfield, CT",-73.234124,41.186856
Public Schools,Glastonbury School District,546111,Glastonbury High School,330 Hubbard St.,Glastonbury,CT,06033-3047,860-652-7200,860-652-7267,sites.google.com/a/glastonburyus.org/ghs/,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Glastonbury High School, Glastonbury, CT",-72.5936241,41.7015655
Public Schools,Granby School District,566111,Granby Memorial High School,315 Salmon Brook St.,Granby,CT,06035-1804,860-844-3014,860-844-3029,www.granby.k12.ct.us,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Granby Memorial High School, Granby, CT",-72.7926687,41.959961
Public Schools,Greenwich School District,576111,Greenwich High School,10 Hillside Rd.,Greenwich,CT,06830-4835,203-625-8000,NA,www.greenwichschools.org/greenwich-high-school,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Greenwich High School, Greenwich, CT",-73.6122393,41.0397676
Public Schools,Griswold School District,586211,Griswold High School,267 Slater Ave.,Griswold,CT,6351,860-376-7640,NA,griswold.k12.ct.us/index.cfm?Menu400&Id122,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Griswold High School, Griswold, CT",-71.981407,41.5953532
Public Schools,Groton School District,596111,Robert E. Fitch High School,101 Groton Long Point Road,Groton,CT,06340-4861,860-449-7200,NA,www.groton.k12.ct.us/WWW/fsr/falcon.htm,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Robert E. Fitch High School, Groton, CT",-72.0129565,41.3403414
Public Schools,Guilford School District,606111,Guilford High School,605 New England Rd.,Guilford,CT,06437-1838,203-453-2741,NA,ghs.guilfordschools.org,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Guilford High School, Guilford, CT",-72.7122669,41.3131182
Public Schools,Hamden School District,626111,Hamden High School,2040 Dixwell Ave.,Hamden,CT,06514-2404,203-407-2040,NA,www.hamden.k12.ct.us/,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Hamden High School, Hamden, CT",-72.9223406,41.367806
Public Schools,Hartford School District,647111,Bulkeley High School,300 Wethersfield Avenue,Hartford,CT,06114-1409,860-695-1011,860-247-3491,bulkeley.hartfordschools.org/,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Bulkeley High School, Hartford, CT",-72.672916,41.7478466
Public Schools,Hartford School District,646911,Capital Preparatory Magnet School,1304 Main Street,Hartford,CT,6103,860-695-9800,860-722-8520,https://capitalprep.org/,NA,NA,Yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Capital Preparatory Magnet School, Hartford, CT",-72.6756774,41.7726195
Public Schools,Hartford School District,646411,Classical Magnet School,85 Woodland Street,Hartford,CT,6105,860-695-9100,860-722-6449,www.classicalmagnet.org/,NA,NA,Yes,0,0,0,0,0,0,0,1,1,1,1,1,1,1,"Classical Magnet School, Hartford, CT",-72.7014245,41.7731556
Public Schools,Hartford School District,646011,Culinary Arts Academy at Weaver High School,150 Tower Avenue,Hartford,CT,6112,860-695-1733,860-722-6414,https://www.hartfordschools.org/enroll/school-directory-2/culinary-arts-academy/,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Culinary Arts Academy at Weaver High School, Hartford, CT",-72.7084163,41.8002885
Public Schools,Hartford School District,643611,Global Communications Academy,85 Edwards Street,Hartford,CT,06112-1826,860-695-6020,860-524-5610,https://www.hartfordschools.org/enroll/school-directory-2/global-communications-academy/,NA,NA,NA,0,1,1,1,1,1,1,1,1,1,1,1,1,1,"Global Communications Academy, Hartford, CT",-72.6819128,41.7748311
Public Schools,Hartford School District,647911,Great Path Academy at MCC,"60 Bidwell Street, MS #20",Manchester,CT,6045,860-521-3700,860-512-3701,https://www.manchestercc.edu/great-path-academy/,NA,NA,Yes,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Great Path Academy at MCC, Manchester, CT",-72.5605992,41.7613718
Public Schools,Hartford School District,647211,HPHS Engineering and Green Technology Academy,55 Forest Street,Hartford,CT,6105,860-695-1315,860-722-8765,aoegt.org/,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"HPHS Engineering and Green Technology Academy, Hartford, CT",-72.7010581,41.7650322
Public Schools,Hartford School District,647411,HPHS Law and Government Academy,55 Forest Street,Hartford,CT,6105,860-695-1320,860-722-8768,https://www.hartfordschools.org/enroll/school-directory-2/hphs-law-government-academy/,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"HPHS Law and Government Academy, Hartford, CT",-72.7012709,41.7650343
Public Schools,Hartford School District,647511,HPHS Nursing and Health Sciences Academy,55 Forest Street,Hartford,CT,6105,860-695-1325,860-722-8764,https://www.hartfordschools.org/enroll/school-directory-2/hphs-academy-of-nursing-and-health-sciences/,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"HPHS Nursing and Health Sciences Academy, Hartford, CT",-72.7010105,41.7652258
Public Schools,Hartford School District,647611,"High School, Inc.",275 Asylum Avenue,Hartford,CT,6103,860-695-7106,860-768-1487,https://highschoolinc.hpsschools.org/,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"High School, Inc., Hartford, CT",-72.6781972,41.767257
Public Schools,Hartford School District,647711,Journalism and Media Academy,150 Tower Street,Hartford,CT,6120,860-695-1818,860-722-6432,jma.hartfordschools.org/,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Journalism and Media Academy, Hartford, CT",-72.6699439,41.7979146
Public Schools,Hartford School District,641111,Kinsella Magnet School of Performing Arts,65 Van Block Avenue,Hartford,CT,6114,860-695-4140,860-522-0004,www.kinsellamagnet.org/,NA,NA,Yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Kinsella Magnet School of Performing Arts, Hartford, CT",-72.6648944,41.7547741
Public Schools,Hartford School District,646611,Pathways Academy of Technology and Design,2 Pent Road,East Hartford,CT,6118,860-695-9450,860-569-5569,www.pathwaystotechnology.com/,NA,NA,Yes,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Pathways Academy of Technology and Design, East Hartford, CT",-72.6351421,41.7404581
Public Schools,Hartford School District,646511,Sport and Medical Sciences Academy,280 Huyshope Avenue,Hartford,CT,6106,860-695-6900,860-722-8017,www.sportandmedicalsciences.org/,NA,NA,Yes,0,0,0,0,0,0,0,1,1,1,1,1,1,1,"Sport and Medical Sciences Academy, Hartford, CT",-72.660141,41.7527771
Public Schools,Hartford School District,646711,University High School of Science and Engineering,351 Mark Twain Drive,Hartford,CT,6112,860-695-9020,860-722-6408,uhsse.org/,NA,NA,Yes,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"University High School of Science and Engineering, Hartford, CT",-72.7096237,41.7964781
Public Charter Schools,Highville Charter School District,2860113,Highville Charter School,1 Science Park,New Haven,CT,6511,203-287-0528,203-497-9899,www.highvillecharter.com,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Highville Charter School, New Haven, CT",-72.9261373,41.3234617
Public Charter Schools,Jumoke Academy District,2610113,Jumoke Academy,834 Asylum Ave.,Hartford,CT,6105,860-527-0575,NA,jumokeacademy.org,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Jumoke Academy, Hartford, CT",-72.6975367,41.7914702
Public Schools,Killingly School District,696111,Killingly High School,226 Putman Pike,Dayville,CT,6241,860-779-6620,NA,www.killingly.k12.ct.us/khs/,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Killingly High School, Dayville, CT",-71.8732905,41.8599411
Regional Education Service Center Schools,Learn,2456014,Connecticut River Academy,One Riverside Drive,East Hartford,CT,6118,860-913-2032,NA,NA,NA,NA,Yes,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Connecticut River Academy, East Hartford, CT",-72.6435964,41.74963
Regional Education Service Center Schools,Learn,2456114,Marine Science Magnet High School of Southeastern Connecticut,130 Shennecossett Road,Groton,CT,6340,860-434-4800,NA,NA,NA,NA,Yes,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Marine Science Magnet High School of Southeastern Connecticut, Groton, CT",-72.0717215,41.3374157
Public Schools,Lebanon School District,716211,Lyman Memorial High School,917 Exeter Rd.,Lebanon,CT,06249-1742,860-642-7567,860-642-3523,www.lebanonct.org,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Lyman Memorial High School, Lebanon, CT",-72.2391093,41.6224764
Public Schools,Ledyard School District,726111,Ledyard High School,24 Gallup Hill Rd.,Ledyard,CT,06339-1512,860-464-9600,860-464-1990,lhs.ledyard.net/,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Ledyard High School, Ledyard, CT",-71.9952506,41.43796
Public Schools,Litchfield School District,746111,Litchfield High School,"14 Plumb Hill Road, P.O. Box 110",Litchfield,CT,6759,860-567-7530,NA,litchfieldschools.org/lhs/lhs.html,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Litchfield High School, Litchfield, CT",-73.2067537,41.7423231
Public Schools,Madison School District,766111,Daniel Hand High School,286 Green Hill Rd.,Madison,CT,6443,203-245-6350,NA,www.danielhand.org/,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Daniel Hand High School, Madison, CT",-72.6193037,41.2928204
Public Schools,Manchester School District,776111,Manchester High School,134 MiddleTpke E,Manchester,CT,06040-4260,860-647-3530,860-646-3727,www.mpspride.org/,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Manchester High School, Manchester, CT",-72.51734,41.7815756
